,Day,Description,Temperature,Precip,Wind,Humidity
0,Tonight,Mostly Cloudy,--,20%,S 3 mph ,83%
1,Thu,Partly Cloudy,90°,20%,SSE 7 mph ,71%
2,Fri,Scattered Thunderstorms,88°,60%,SE 9 mph ,73%
3,Sat,Scattered Thunderstorms,87°,60%,SSE 7 mph ,76%
4,Sun,Scattered Thunderstorms,88°,60%,SSE 6 mph ,74%
5,Mon,Scattered Thunderstorms,88°,60%,S 6 mph ,73%
6,Tue,Scattered Thunderstorms,89°,50%,SSE 8 mph ,74%
7,Wed,Scattered Thunderstorms,88°,60%,S 8 mph ,75%
8,Thu,AM Thunderstorms,87°,80%,S 9 mph ,76%
9,Fri,Thunderstorms,87°,80%,S 9 mph ,76%
10,Sat,Scattered Thunderstorms,87°,50%,S 8 mph ,76%
11,Sun,Scattered Thunderstorms,87°,50%,S 8 mph ,75%
12,Mon,AM Thunderstorms,88°,40%,SSE 7 mph ,74%
13,Tue,AM Thunderstorms,88°,40%,SSE 7 mph ,74%
14,Wed,Scattered Thunderstorms,88°,50%,SE 8 mph ,75%
